Designator,Mid X,Mid Y,Layer,Rotation
C17,26.90,25.12,B,180.00
C17,88.90,25.12,B,180.00
C18,9.14,108.29,B,270.00
C18,71.14,108.29,B,270.00
C18,64.86,27.71,B,90.00
C18,126.86,27.71,B,90.00
C19,64.89,96.64,B,270.00
C19,126.89,96.64,B,270.00
C19,9.11,39.36,B,90.00
C19,71.11,39.36,B,90.00
C20,118.17,95.58,B,180.00
C20,17.83,40.42,B,0.00
C20,79.83,40.42,B,0.00
C20,56.17,95.58,B,180.00
C21,46.22,93.17,B,90.00
C21,108.22,93.17,B,90.00
C21,27.78,42.83,B,270.00
C21,89.78,42.83,B,270.00
C22,43.82,93.17,B,270.00
C22,105.82,93.17,B,270.00
C22,30.18,42.83,B,90.00
C22,92.18,42.83,B,90.00
C23,45.62,93.17,B,90.00
C23,107.62,93.17,B,90.00
C23,28.38,42.83,B,270.00
C23,90.38,42.83,B,270.00
C24,49.47,94.82,B,270.00
C24,111.47,94.82,B,270.00
C24,24.53,41.18,B,90.00
C24,86.53,41.18,B,90.00
C25,46.82,93.17,B,90.00
C25,108.82,93.17,B,90.00
C25,27.18,42.83,B,270.00
C25,89.18,42.83,B,270.00
C26,43.22,93.17,B,270.00
C26,105.22,93.17,B,270.00
C26,30.78,42.83,B,90.00
C26,92.78,42.83,B,90.00
C27,42.62,93.17,B,90.00
C27,104.62,93.17,B,90.00
C27,31.38,42.83,B,270.00
C27,93.38,42.83,B,270.00
C28,31.03,95.56,B,180.00
C28,93.03,95.56,B,180.00
C28,42.97,40.44,B,0.00
C28,104.97,40.44,B,0.00
C29,11.97,95.58,B,180.00
C29,73.97,95.58,B,180.00
C29,62.03,40.42,B,0.00
C29,124.03,40.42,B,0.00
C30,9.14,97.35,B,270.00
C30,71.14,97.35,B,270.00
C30,64.86,38.65,B,90.00
C30,126.86,38.65,B,90.00
C31,9.11,48.46,B,90.00
C31,71.11,48.46,B,90.00
C31,64.89,87.54,B,270.00
C31,126.89,87.54,B,270.00
C32,51.02,87.15,B,0.00
C32,113.02,87.15,B,0.00
C32,22.98,48.85,B,180.00
C32,84.98,48.85,B,180.00
C33,51.02,90.75,B,0.00
C33,113.02,90.75,B,0.00
C33,22.98,45.25,B,180.00
C33,84.98,45.25,B,180.00
C34,40.87,90.75,B,180.00
C34,102.87,90.75,B,180.00
C34,33.13,45.25,B,0.00
C34,95.13,45.25,B,0.00
C35,40.87,87.15,B,180.00
C35,102.87,87.15,B,180.00
C35,33.13,48.85,B,0.00
C35,95.13,48.85,B,0.00
C36,9.14,89.29,B,270.00
C36,71.14,89.29,B,270.00
C36,64.86,46.71,B,90.00
C36,126.86,46.71,B,90.00
C37,47.99,80.85,B,270.00
C37,109.99,80.85,B,270.00
C37,26.01,55.15,B,90.00
C37,88.01,55.15,B,90.00
C38,45.52,83.27,B,270.00
C38,107.52,83.27,B,270.00
C38,90.48,52.73,B,90.00
C38,28.48,52.73,B,90.00
C39,44.92,83.27,B,270.00
C39,106.92,83.27,B,270.00
C39,29.08,52.73,B,90.00
C39,91.08,52.73,B,90.00
C40,43.87,80.85,B,90.00
C40,105.87,80.85,B,90.00
C40,30.13,55.15,B,270.00
C40,92.13,55.15,B,270.00
C41,56.19,76.52,B,180.00
C41,118.19,76.52,B,180.00
C41,17.81,59.48,B,0.00
C41,79.81,59.48,B,0.00
C42,31.02,76.54,B,180.00
C42,93.02,76.54,B,180.00
C42,42.98,59.46,B,0.00
C42,104.98,59.46,B,0.00
C43,11.97,76.55,B,180.00
C43,73.97,76.55,B,180.00
C43,62.03,59.45,B,0.00
C43,124.03,59.45,B,0.00
C44,9.14,74.46,B,270.00
C44,71.14,74.46,B,270.00
C44,64.86,61.54,B,90.00
C44,126.86,61.54,B,90.00
C45,64.89,72.70,B,270.00
C45,126.89,72.70,B,270.00
C45,9.11,63.30,B,90.00
C45,71.11,63.30,B,90.00
C46,60.81,71.23,B,180.00
C46,122.81,71.23,B,180.00
C46,13.19,64.77,B,0.00
C46,75.19,64.77,B,0.00
C47,50.80,71.23,B,180.00
C47,112.80,71.23,B,180.00
C47,23.20,64.77,B,0.00
C47,85.20,64.77,B,0.00
C48,40.81,71.23,B,180.00
C48,102.81,71.23,B,180.00
C48,33.19,64.77,B,0.00
C48,95.19,64.77,B,0.00
C49,30.79,71.23,B,180.00
C49,92.79,71.23,B,180.00
C49,43.21,64.77,B,0.00
C49,105.21,64.77,B,0.00
C50,20.79,71.23,B,180.00
C50,82.79,71.23,B,180.00
C50,53.21,64.77,B,0.00
C50,115.21,64.77,B,0.00
C51,10.80,71.23,B,180.00
C51,72.80,71.23,B,180.00
C51,63.20,64.77,B,0.00
C51,125.20,64.77,B,0.00
D1,14.90,118.08,T,0.00
D1,59.10,17.92,T,180.00
D1,76.90,118.08,T,0.00
D1,121.10,17.92,T,180.00
D2,95.95,118.08,T,0.00
D2,102.05,17.92,T,180.00
D2,33.95,118.08,T,0.00
D2,40.05,17.92,T,180.00
D3,59.10,36.97,T,180.00
D3,121.10,36.97,T,180.00
D3,76.90,99.03,T,0.00
D3,14.90,99.03,T,0.00
D4,33.95,99.04,T,0.00
D4,95.95,99.04,T,0.00
D4,102.05,36.96,T,180.00
D4,40.05,36.96,T,180.00
D5,121.10,99.03,T,0.00
D5,14.90,36.97,T,180.00
D5,76.90,36.97,T,180.00
D5,59.10,99.03,T,0.00
D6,76.90,79.98,T,0.00
D6,59.10,56.02,T,180.00
D6,121.10,56.02,T,180.00
D6,14.90,79.98,T,0.00
D7,33.95,79.98,T,0.00
D7,40.05,56.02,T,180.00
D7,95.95,79.98,T,0.00
D7,102.05,56.02,T,180.00
D8,59.10,79.98,T,0.00
D8,121.10,79.98,T,0.00
D8,76.90,56.02,T,180.00
D8,14.90,56.02,T,180.00
D9,124.04,128.37,B,0.00
D9,73.96,7.63,B,180.00
D9,62.04,128.37,B,0.00
D9,11.96,7.63,B,180.00
D10,42.04,128.37,B,0.00
D10,104.04,128.37,B,0.00
D10,31.96,7.63,B,180.00
D10,93.96,7.63,B,180.00
D11,103.96,7.63,B,180.00
D11,32.04,128.37,B,0.00
D11,94.04,128.37,B,0.00
D11,41.96,7.63,B,180.00
D12,17.04,128.37,B,0.00
D12,79.04,128.37,B,0.00
D12,56.96,7.63,B,180.00
D12,118.96,7.63,B,180.00
D13,12.04,128.37,B,0.00
D13,123.96,7.63,B,180.00
D13,74.04,128.37,B,0.00
D13,61.96,7.63,B,180.00
D14,66.49,123.96,B,270.00
D14,128.49,123.96,B,270.00
D14,7.51,12.04,B,90.00
D14,69.51,12.04,B,90.00
D15,7.54,123.87,B,90.00
D15,69.54,123.87,B,90.00
D15,66.46,12.13,B,270.00
D15,128.46,12.13,B,270.00
D16,66.54,112.46,B,270.00
D16,128.54,112.46,B,270.00
D16,7.46,23.54,B,90.00
D16,69.46,23.54,B,90.00
D17,7.54,115.62,B,90.00
D17,69.54,115.62,B,90.00
D17,66.46,20.38,B,270.00
D17,128.46,20.38,B,270.00
D18,66.49,107.79,B,270.00
D18,128.49,107.79,B,270.00
D18,7.51,28.21,B,90.00
D18,69.51,28.21,B,90.00
D19,7.54,107.70,B,90.00
D19,69.54,107.70,B,90.00
D19,66.46,28.30,B,270.00
D19,128.46,28.30,B,270.00
D20,69.51,38.13,B,90.00
